place_id,reason
ChIJaTkb64NaqEcRsCzgXeiXnFA,"('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))"
ChIJpVEVKNtRqEcR2ef-ETuw7i0,"('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))"
ChIJRdgYkc9RqEcRA1i0kCEhj6c,"('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))"
ChIJn2ZSd9BRqEcRM0lIW9z4JA0,"('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))"
ChIJ79fcE-ZQqEcRn2qA5pOz-Xc,"('Connection aborted.', ConnectionAbortedError(10053, 'An established connection was aborted by the software in your host machine', None, 10053, None))"
ChIJ9dw3SJVRqEcRZp4sOB0XfEE,"HTTPSConnectionPool(host='maps.googleapis.com', port=443): Max retries exceeded with url: /maps/api/place/details/json?place_id=ChIJ9dw3SJVRqEcRZp4sOB0XfEE&fields=name%2Cuser_ratings_total%2Cwebsite&key=AIzaSyDnyjgv4RyVy8tFn0SlYzwabqiRQOhdEE8 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
ChIJKZi9DKRQqEcRsKfC3ix_pV4,"HTTPSConnectionPool(host='maps.googleapis.com', port=443): Max retries exceeded with url: /maps/api/place/details/json?place_id=ChIJKZi9DKRQqEcRsKfC3ix_pV4&fields=name%2Cuser_ratings_total%2Cwebsite&key=AIzaSyDnyjgv4RyVy8tFn0SlYzwabqiRQOhdEE8 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
ChIJpc-atmhw0YARkRfivHbVOT8,"HTTPSConnectionPool(host='maps.googleapis.com', port=443): Max retries exceeded with url: /maps/api/place/details/json?place_id=ChIJpc-atmhw0YARkRfivHbVOT8&fields=name%2Cuser_ratings_total%2Cwebsite&key=AIzaSyDnyjgv4RyVy8tFn0SlYzwabqiRQOhdEE8 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
ChIJ84D0Wmw_qEcRgi0UaOJGzbg,"HTTPSConnectionPool(host='maps.googleapis.com', port=443): Max retries exceeded with url: /maps/api/place/details/json?place_id=ChIJ84D0Wmw_qEcRgi0UaOJGzbg&fields=name%2Cuser_ratings_total%2Cwebsite&key=AIzaSyDnyjgv4RyVy8tFn0SlYzwabqiRQOhdEE8 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
ChIJRbA-KJ1TqEcRpDAv5yOq0Gc,"HTTPSConnectionPool(host='maps.googleapis.com', port=443): Max retries exceeded with url: /maps/api/place/details/json?place_id=ChIJRbA-KJ1TqEcRpDAv5yOq0Gc&fields=name%2Cuser_ratings_total%2Cwebsite&key=AIzaSyDnyjgv4RyVy8tFn0SlYzwabqiRQOhdEE8 (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
